Male_ID,court_white,court_red,type,redYN,yellowYN
A22_517,0,1,TTC,Y,Y
A22_539,0,0,TTC,Y,Y
A22_563,2,0,TTC,Y,Y
B19_338,2,1,CC,N,N
B19_385,7,2,CC,N,N
B19_450,0,0,CC,N,N
B19_458,0,0,CC,N,N
B19_623,0,3,CC,N,N
B19_626,0,1,CC,N,N
B19_629,1,2,CC,N,N
B19_634,5,0,CC,N,N
B19_664,9,0,CC,N,N
B19_672,3,1,CC,N,N
B19_675,1,6,CC,N,N
B19_683,1,4,CC,N,N
B19_731,0,0,CC,N,N
B19_750,1,0,CC,N,N
B19_751,1,2,CC,N,N
B19_756,0,0,CC,N,N
B19_767,0,0,CC,N,N
B19_775,3,0,CC,N,N
B19_784,4,6,CC,N,N
B19_795,2,4,CC,N,N
B19_815,0,0,CC,N,N
B19_816,4,2,CC,N,N
B19_833,5,10,TTC,Y,N
B19_840,1,0,TTC,Y,N
B19_852,0,0,TTC,Y,N
B19_855,2,5,TTC,Y,N
B19_861,0,3,TTC,Y,N
B19_864,5,1,CC,N,N
B19_865,3,1,CC,N,N
B19_879,0,2,TTC,Y,N
B19_918,3,2,CC,N,N
B19_935,3,0,CC,N,N
B19_943,0,0,CC,N,N
B19_955,0,0,CC,N,N
B19_956,0,0,CC,N,N
B21_088,2,7,CCx(CCxTTC),Y,Y
B21_097,5,2,TTC,Y,Y
B21_098,0,1,CCx(CCxTTC),N,N
B21_099,5,5,CCx(CCxTTC),N,N
B21_107,6,7,CCx(CCxTTC),Y,Y
B21_119,5,2,CCx(CCxTTC),N,Y
B21_120,10,18,CCx(CCxTTC),N,N
B21_121,0,1,CCx(CCxTTC),Y,N
B21_127,7,0,CCx(CCxTTC),N,N
B21_140,9,29,CCx(CCxTTC),N,N
B21_170,3,7,CCx(CCxTTC),N,N
B21_174,5,12,CCx(CCxTTC),N,N
B21_178,6,18,CCx(CCxTTC),Y,Y
B21_179,6,15,CCx(CCxTTC),Y,Y
B21_181,0,0,TTC,Y,Y
B21_189,0,0,CCx(CCxTTC),Y,Y
B21_195,5,7,CCx(CCxTTC),Y,Y
B21_200,15,0,CCx(CCxTTC),Y,N
B21_220,11,4,CCx(CCxTTC),Y,N
B21_221,2,2,CCx(CCxTTC),Y,N
B21_222,1,2,CCx(CCxTTC),N,Y
B21_227,5,3,CCx(CCxTTC),N,N
B21_228,1,6,CCx(CCxTTC),Y,N
B21_229,0,8,CCx(CCxTTC),N,N
B21_230,4,12,CCx(CCxTTC),Y,N
B21_235,0,0,TTC,Y,Y
B21_244,6,9,CCx(CCxTTC),N,Y
B21_247,4,8,CCx(CCxTTC),Y,N
B21_262,0,0,TTC,Y,Y
B21_272,4,14,CCx(CCxTTC),Y,N
B21_276,0,0,CCx(CCxTTC),Y,N
B21_284,4,4,CCx(CCxTTC),Y,N
B21_285,2,3,CCx(CCxTTC),Y,N
B21_286,0,0,CCx(CCxTTC),Y,Y
B21_287,0,3,CCx(CCxTTC),Y,N
B21_288,4,1,CCx(CCxTTC),N,Y
B21_291,5,3,CCx(CCxTTC),N,N
B21_293,0,5,CCx(CCxTTC),N,N
B21_296,6,5,CCx(CCxTTC),N,N
B21_302,0,0,TTC,Y,Y
B21_308,6,7,CCx(CCxTTC),Y,Y
B21_309,6,11,CCx(CCxTTC),Y,N
B21_310,3,8,CCx(CCxTTC),Y,N
B21_317,2,0,CCx(CCxTTC),N,N
B21_331,0,2,CCx(CCxTTC),Y,N
B21_332,3,2,CCx(CCxTTC),Y,N
B21_335,7,1,CCx(CCxTTC),N,N
B21_341,0,0,CCx(CCxTTC),N,N
B21_342,9,3,CCx(CCxTTC),Y,N
B21_345,0,0,CCx(CCxTTC),Y,N
B21_346,0,4,CCx(CCxTTC),N,N
B21_347,3,4,CCx(CCxTTC),Y,N
B21_358,2,4,CCx(CCxTTC),N,Y
B21_359,0,0,CCx(CCxTTC),Y,Y
B21_360,1,0,CCx(CCxTTC),Y,N
B21_361,3,2,CCx(CCxTTC),N,Y
B21_362,5,9,CCx(CCxTTC),N,N
B21_363,11,4,CCx(CCxTTC),N,N
B21_364,0,0,CCx(CCxTTC),Y,N
B21_365,0,0,CCx(CCxTTC),N,N
B21_371,0,0,TTC,Y,Y
B21_377,5,3,CCx(CCxTTC),N,Y
B21_378,4,3,CCx(CCxTTC),N,N
B21_379,2,1,CCx(CCxTTC),Y,Y
B21_381,0,4,CCx(CCxTTC),N,N
B21_388,0,1,CCx(CCxTTC),Y,N
B21_394,0,0,TTC,Y,Y
B21_405,8,0,CCx(CCxTTC),N,N
B21_408,0,0,CCx(CCxTTC),Y,N
B21_415,3,0,CCx(CCxTTC),N,N
B21_416,0,0,CCx(CCxTTC),Y,N
B21_421,2,3,CCx(CCxTTC),Y,N
B21_422,2,4,CCx(CCxTTC),N,Y
B21_426,1,3,CCx(CCxTTC),Y,N
B21_434,0,3,TTC,Y,Y
B21_446,0,0,CCx(CCxTTC),N,N
B21_447,1,4,CCx(CCxTTC),N,N
B21_454,0,0,CCx(CCxTTC),Y,Y
B21_456,2,1,CCx(CCxTTC),Y,Y
B21_457,3,2,CCx(CCxTTC),Y,Y
B21_458,4,2,CCx(CCxTTC),N,Y
B21_460,1,0,CCx(CCxTTC),Y,N
B21_485,8,2,CCx(CCxTTC),N,N
B21_486,1,0,CCx(CCxTTC),N,N
B21_489,11,5,CCx(CCxTTC),N,N
B21_490,4,3,CCx(CCxTTC),N,Y
B21_497,13,9,CCx(CCxTTC),N,Y
B21_513,2,0,CCx(CCxTTC),N,N
B21_514,1,0,CCx(CCxTTC),N,N
B21_526,9,18,CCx(CCxTTC),Y,N
B21_536,10,1,CCx(CCxTTC),Y,N
B21_543,4,8,CCx(CCxTTC),Y,N
B21_546,0,0,CCx(CCxTTC),Y,N
B21_547,15,18,CCx(CCxTTC),N,N
B21_548,6,25,CCx(CCxTTC),Y,N
B21_551,2,0,CCx(CCxTTC),N,N
B21_557,5,5,CCx(CCxTTC),N,Y
B21_559,11,8,CCx(CCxTTC),N,Y
B21_560,6,13,CCx(CCxTTC),N,N
B21_561,7,21,CCx(CCxTTC),Y,N
B21_595,6,4,CCx(CCxTTC),Y,N
B21_596,4,6,CCx(CCxTTC),Y,Y
B21_608,0,0,CCx(CCxTTC),N,N
B21_612,2,1,CCx(CCxTTC),N,N
B21_613,3,2,CCx(CCxTTC),Y,N
B21_622,1,3,CCx(CCxTTC),Y,N
B21_638,5,3,CCx(CCxTTC),N,N
B21_641,0,9,CCx(CCxTTC),N,N
B21_642,14,4,CCx(CCxTTC),Y,N
B21_663,3,2,CCx(CCxTTC),Y,N
B21_666,1,6,CCx(CCxTTC),Y,Y
B21_667,2,0,CCx(CCxTTC),Y,N
B21_679,8,7,CCx(CCxTTC),Y,N
B21_691,5,3,CCx(CCxTTC),Y,Y
B21_716,1,5,CCx(CCxTTC),Y,N
B21_731,10,12,CCx(CCxTTC),N,N
B21_732,3,2,CCx(CCxTTC),N,Y
B21_763,7,6,CCx(CCxTTC),N,N
B21_765,6,6,CCx(CCxTTC),Y,N
B21_788,0,0,CCx(CCxTTC),Y,N
B21_795,3,5,CCx(CCxTTC),Y,N
B21_797,3,3,CCx(CCxTTC),Y,Y
B21_827,7,0,CCx(CCxTTC),Y,N
